categories,Cell_ID,ID,subject,group,treatment,tissue,region,Cell,cell_positions,Soma_area,Soma_perimeter,Soma_circularity,Soma_compactness,Soma_orientation,Soma_feret_diameter,Soma_eccentricity,Soma_aspect_ratio,End_Points,Junctions,Branches,Initial_Points,Total_Branches_Length,ratio_branches,Convex_Hull_area,Convex_Hull_perimeter,Convex_Hull_compactness,Fractal_dimension,Convex_Hull_eccentricity,Convex_Hull_feret_diameter,Convex_Hull_orientation,Cell_area,Cell_perimeter,Cell_circularity,Cell_compactness,Cell_orientation,Cell_feret_diameter,Cell_eccentricity,Cell_aspect_ratio,Sholl_max_distance,Sholl_crossing_processes,Sholl_circles,Cell_solidity,Cell_convexity,UMAP_1,UMAP_2,Clusters,Cluster_Color
CON_F,C1_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,1,"(3774, 916, 3864, 974)",1975,194.6690469,0.654912318,10.1454239,90,68,0.637436139,1.815789474,3,0,3,3,11,1,3270,235.1787128,13.90431966,-0.856986431,0.655923345,68.56971741,34.99201965,2593,267.1787128,0.456466252,9.7051145,35.13419342,68.30197906,0.667014085,1.551724138,58.30951895,7,4,0.792966361,1.136066737,-0.9949999,12.209213,1,"240,200,200"
CON_F,C2_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,2,"(3826, 945, 3884, 998)",1215,132.7279217,0.866685546,9.154064828,90,37,0.835927936,1.151515152,4,0,3,4,10,1,2085,178.16652,11.70253536,-0.715336417,0.761156759,56.25153732,30.96375656,1902,183.4802284,0.709972999,10.36623955,30.57922363,55.84281921,0.800430574,1.094339623,40.83163262,5,2,0.912230216,1.029824394,-3.0885825,2.3574617,0,"184,138,255"
CON_F,C3_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,3,"(3801, 989, 3860, 1051)",1333,143.6984841,0.811214379,9.276367866,90,41,0.581660158,0.904761905,4,0,4,4,19,1,2217,199.92388,11.08922056,-0.700062817,0.796998368,60.87644196,14.03624439,1771,212.3086563,0.493733985,8.34162879,14.03624439,60.63389969,0.785768782,0.951612903,45.96737974,5,2,0.798827244,1.061947459,-3.3644059,0.73035026,0,"184,138,255"
CON_F,C4_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,4,"(3862, 998, 3904, 1086)",1373,190.9705625,0.473094116,7.189589758,90,66.99998474,0.317094843,0.323529412,5,0,6,6,31,0.833333333,2882,228.4680363,12.61445604,-0.834062906,0.439052986,87.09588623,7.594643593,2275,272.7939367,0.384168577,8.339628172,7.907162666,86.97072601,0.405715141,0.477272727,52.33757945,9,3,0.789382373,1.194013575,-2.3125134,8.784674,1,"240,200,200"
CON_F,C5_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,5,"(3937, 1092, 4006, 1180)",2099,203.7401148,0.635432187,10.30234032,90,60,0.753580666,0.737704918,3,1,7,8,39,0.375,4503,271.9238812,16.55978129,-0.932138201,0.697406844,90.93392944,8.130102158,2904,351.2619734,0.295763245,8.267333842,8.130103111,90.50966644,0.691816698,0.784090909,60.13503324,18,4,0.644903398,1.291765813,2.3002105,13.651876,1,"240,200,200"
CON_F,C6_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,6,"(609, 1113, 762, 1259)",3442,404.7350613,0.264045685,8.504328706,18.61569214,135.3887024,0.391220068,1.506024096,9,3,11,7,56,1.285714286,10988,468.0559089,23.47582797,-1.128274681,0.447329133,173.5072021,52.30575943,5129,741.979789,0.117073449,6.91258721,52.33437729,173.1222076,0.592532727,1.047945205,118.1397478,19,10,0.466781944,1.585237522,13.364641,1.1869546,3,"59,235,255"
CON_F,C7_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,7,"(1085, 1113, 1149, 1190)",2271,186.8700575,0.817236133,12.15282978,90,56,0.526533367,0.771929825,1,0,1,2,6,0.5,3537,228.2081523,15.4990081,-0.856986431,0.665171732,78.48885345,45,3277,247.036579,0.674782446,13.26524199,41.87787247,78.56491852,0.647850993,0.831168831,51.38153851,6,3,0.926491377,1.082505496,7.452989,14.433172,2,"231,221,119"
CON_F,C8_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,8,"(149, 1130, 361, 1306)",2755,226.3675311,0.675621092,12.17047333,14.03624439,83.18971252,0.522557897,1.58,12,16,32,2,139,6,12674,599.1929921,21.15178276,-1.206639122,0.258424059,263.1469116,40.18645477,5745,869.3767586,0.095517698,6.608182176,40.18308258,263.0290833,0.322168691,1.204545455,164.2535303,30,14,0.4532902,1.450912761,12.858835,-1.5416288,4,"119,221,119"
CON_F,C9_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,9,"(1709, 1156, 1815, 1260)",2668,276.0243847,0.440048747,9.665812687,45,91.92388153,0.495736827,0.831168831,11,7,18,8,89,1.375,8155,359.1787127,22.70457494,-1.124027335,0.697510901,105,90,4747,671.6955186,0.132216055,7.06719022,3.9451859,105.852005,0.663163683,1.019230769,87.45856162,25,7,0.582096873,1.870087215,13.258955,3.3486338,3,"59,235,255"
CON_F,C10_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,10,"(1085, 1183, 1261, 1304)",4232,350.9360718,0.431816768,12.05917642,46.78991318,134.660202,0.434426639,1.191011236,12,10,28,13,118,0.923076923,9528,466.9848416,20.403231860000002,-1.157196153,0.35044118,198.6970062,45,5854,624.3818101,0.188695741,9.375673515,46.68468094,197.5508881,0.342385467,1.454545455,124.1692393,28,10,0.614399664,1.337049417,13.162599,-1.7869258,4,"119,221,119"
CON_F,C11_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,11,"(1765, 1211, 1826, 1295)",2052,186.6690468,0.740018541,10.99271698,90,63,0.624679164,0.640625,5,0,4,5,18,1,3206,234.4507935,13.67451119,-0.834440624,0.527937489,91.92388153,45,2643,265.865005,0.469877527,9.941135351,45,91.92388153,0.518113568,0.726190476,55.57177541,15,3,0.824391765,1.133990638,-0.3850807,12.807217,1,"240,200,200"
CON_F,C12_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,12,"(1666, 1256, 1756, 1345)",2480,222.669047,0.628552914,11.13760549,90,67.99998474,0.582524824,0.739130435,10,1,10,9,44,1.111111111,5704,303.0365782,18.82281022,-1.000342103,0.578423193,89,90,3322,440.4163013,0.215220047,7.542863401,67.45693207,107.6419983,0.584189473,1.011235955,71.06335202,13,5,0.582398317,1.453343698,7.3079214,13.746393,2,"231,221,119"
CON_F,C13_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,13,"(279, 1302, 379, 1368)",2374,225.3553385,0.587428317,10.53447421,90,67,0.610380059,1.619047619,6,4,9,4,33,1.5,4691,283.4802284,16.54789128,-0.957422143,0.585810216,103.0512543,7.66680479,3384,336.2914107,0.376018029,10.06270125,7.678963661,102.7889709,0.545240625,1.515151515,70.83078427,13,5,0.721381369,1.186295822,8.019571,14.176985,2,"231,221,119"
CON_F,C14_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,14,"(1276, 1375, 1366, 1428)",1996,194.7695519,0.661193036,10.24800838,90,69,0.44319629,2.121212121,4,0,5,7,26,0.571428571,3216,232.7939372,13.81479277,-0.856986431,0.519405392,83.91732788,75.96376038,2557,301.0782073,0.354472011,8.492809969,75.57923126,83.23504639,0.538968435,1.698113208,55.26753116,9,3,0.795087065,1.29332495,-1.0558051,11.973357,1,"240,200,200"
CON_F,C15_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,15,"(1513, 1390, 1611, 1435)",1582,210.911687,0.446904834,7.500769741,90,77,0.232502663,3.12,5,0,5,7,17,0.714285714,3282,247.4385985,13.26389666,-0.876048638,0.399728798,96.00901031,80.53767395,2313,300.9360722,0.320949719,7.686017774,79.93930817,95.74667358,0.414556608,2.177777778,56.36488268,7,4,0.704753199,1.216205047,-1.9119916,9.088788,1,"240,200,200"
CON_F,C16_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,16,"(463, 1395, 568, 1465)",3460,290.2253954,0.5161966,11.92176858,90,84,0.673741217,1.7,3,1,6,9,17,0.333333333,5176,288.592926,17.93529755,-0.973918888,0.605078807,103.0621109,16.69924355,4402,327.5634896,0.515547784,13.43861615,16.38954163,102.8778381,0.602816274,1.5,67.42403132,11,5,0.850463679,1.135036448,13.491507,5.994395,3,"59,235,255"
CON_F,C17_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,17,"(596, 1421, 733, 1546)",5771,393.8233743,0.46758219,14.65377724,90,105,0.694458085,1.00952381,9,2,11,7,46,1.285714286,10346,432.7178231,23.90934564,-1.144032884,0.64259323,167.6003418,47.12109756,6575,602.8843368,0.227319985,10.90590616,47.12109756,167.6003418,0.573654683,1.096,112.4322018,22,9,0.635511309,1.393250531,12.67335,-3.627915,4,"119,221,119"
CON_F,C18_s03_MR161_CON_F_PVN,PVN_MR161_CON_F_s03,PVN,MR161,CON,F,s03,18,"(385, 1428, 508, 1514)",3727,358.1665202,0.365089449,10.40577438,12.87500095,106.3431244,0.370836497,1.745762712,15,6,21,17,64,0.882352941,7399,345.46298410000003,21.41763471,-1.050649068,0.572883225,125.4967804,23.96248627,4719,535.0437168,0.207148267,8.819840047,23.96249008,125.1921921,0.510938365,1.430232558,79.0253124,18,6,0.63778889,1.548772926,13.598637,3.5265515,3,"59,235,255"
