"Treatment","Sex","BrainRegion","MouseID","SlideNumber","Cluster","n","percentage"
"COLD","F","ARC","MR138","s06","Ameboid",10,0.384615384615385
"COLD","F","ARC","MR138","s06","Rod-Like",3,0.115384615384615
"COLD","F","ARC","MR138","s06","Ramified",13,0.5
"COLD","F","ARC","MR138","s07","Ameboid",17,0.26984126984127
"COLD","F","ARC","MR138","s07","Rod-Like",15,0.238095238095238
"COLD","F","ARC","MR138","s07","Ramified",31,0.492063492063492
"COLD","F","ARC","MR138","s08","Ameboid",11,0.354838709677419
"COLD","F","ARC","MR138","s08","Rod-Like",9,0.290322580645161
"COLD","F","ARC","MR138","s08","Ramified",11,0.354838709677419
"COLD","F","ARC","MR138","s09","Ameboid",9,0.45
"COLD","F","ARC","MR138","s09","Rod-Like",4,0.2
"COLD","F","ARC","MR138","s09","Ramified",7,0.35
"COLD","F","ARC","MR138","s10","Ameboid",16,0.432432432432432
"COLD","F","ARC","MR138","s10","Rod-Like",7,0.189189189189189
"COLD","F","ARC","MR138","s10","Ramified",14,0.378378378378378
"COLD","F","ARC","MR139","s07","Ameboid",12,0.272727272727273
"COLD","F","ARC","MR139","s07","Rod-Like",7,0.159090909090909
"COLD","F","ARC","MR139","s07","Ramified",25,0.568181818181818
"COLD","F","ARC","MR139","s08","Ameboid",21,0.253012048192771
"COLD","F","ARC","MR139","s08","Rod-Like",8,0.0963855421686747
"COLD","F","ARC","MR139","s08","Ramified",54,0.650602409638554
"COLD","F","ARC","MR139","s09","Ameboid",22,0.478260869565217
"COLD","F","ARC","MR139","s09","Rod-Like",11,0.239130434782609
"COLD","F","ARC","MR139","s09","Ramified",13,0.282608695652174
"COLD","F","ARC","MR139","s10","Ameboid",17,0.472222222222222
"COLD","F","ARC","MR139","s10","Rod-Like",5,0.138888888888889
"COLD","F","ARC","MR139","s10","Ramified",14,0.388888888888889
"COLD","F","ARC","MR139","s11","Ameboid",13,0.333333333333333
"COLD","F","ARC","MR139","s11","Rod-Like",12,0.307692307692308
