"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","34/151","153/28905",0.222222222222222,42.5386313465784,37.3320795124882,3.58297013513425e-46,7.83595568553861e-43,6.63415207126437e-43,"Rps29/Rplp1/Rpl21/Rps26/Rps21/Rps12/Rps15a/Rpl35a/Rpl32/Rpl8/Rps10/Rps19/Rpl18/Rpl13/Rpl23/Rpl37a/Rpl10a/Rps8/Rpl34/Rpl39/Rps5/Rps3/Rpl18a/Rps13/Rpl27a/Rpl12/Rpl3/Rpl15/Rpl19/Rpl7/Rpl28/Rpl26/Rplp2/Rps7",34
"GO:0140236","GO:0140236","translation at presynapse","22/151","47/28905",0.468085106382979,89.6026490066225,44.053542226387,1.68246036279995e-38,1.69098996109758e-35,1.43164216377669e-35,"Rps26/Rps12/Rps15a/Rps27/Rpl35a/Rpl32/Rpl8/Rps10/Rpl10/Rpl13/Rpl23/Rpl37a/Rpl10a/Rpl34/Rps5/Rpl27a/Rpl12/Rpl15/Rpl7/Rpl28/Rpl26/Rplp2",22
"GO:0140241","GO:0140241","translation at synapse","22/151","48/28905",0.458333333333333,87.7359271523179,43.5825229844418,3.09280285523105e-38,1.69098996109758e-35,1.43164216377669e-35,"Rps26/Rps12/Rps15a/Rps27/Rpl35a/Rpl32/Rpl8/Rps10/Rpl10/Rpl13/Rpl23/Rpl37a/Rpl10a/Rpl34/Rps5/Rpl27a/Rpl12/Rpl15/Rpl7/Rpl28/Rpl26/Rplp2",22
"GO:0140242","GO:0140242","translation at postsynapse","22/151","48/28905",0.458333333333333,87.7359271523179,43.5825229844418,3.09280285523105e-38,1.69098996109758e-35,1.43164216377669e-35,"Rps26/Rps12/Rps15a/Rps27/Rpl35a/Rpl32/Rpl8/Rps10/Rpl10/Rpl13/Rpl23/Rpl37a/Rpl10a/Rpl34/Rps5/Rpl27a/Rpl12/Rpl15/Rpl7/Rpl28/Rpl26/Rplp2",22
"GO:0042254","GO:0042254","ribosome biogenesis","17/151","320/28905",0.053125,10.1693915562914,11.9526643286082,1.17802383606982e-12,5.15267625896938e-10,4.36240826873013e-10,"Rps21/Rps12/Rps15a/Rps27/Rpl35a/Rps19/Rpl10/Rpl10a/Rps8/Rps5/Rps13/Rpl7/Rpl26/Glul/Rps7/Ncl/Bud23",17
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","17/151","442/28905",0.0384615384615385,7.36245542536933,9.76818474374272,1.87994189285693e-10,6.85238819946352e-08,5.80143471848306e-08,"Rps21/Rps12/Rps15a/Rps27/Rpl35a/Rps19/Rpl10/Rpl10a/Rps8/Rps5/Rps13/Rpl7/Rpl26/Glul/Rps7/Ncl/Bud23",17
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","9/151","103/28905",0.087378640776699,16.726355044043,11.5865377058524,3.76555971253422e-09,1.17646844161605e-06,9.96033012683863e-07,"Rps21/Rps12/Rps15a/Rps27/Rps19/Rps8/Rps5/Rps13/Rps7",9
"GO:0006364","GO:0006364","rRNA processing","11/151","216/28905",0.0509259259259259,9.74843635025754,9.35228903799555,2.02311159561679e-08,5.53068132451741e-06,4.68243854827624e-06,"Rps21/Rps27/Rpl35a/Rps19/Rpl10a/Rps8/Rpl7/Rpl26/Rps7/Ncl/Bud23",11
"GO:0002861","GO:0002861","regulation of inflammatory response to antigenic stimulus","7/151","65/28905",0.107692307692308,20.6148751910341,11.4726280337908,4.9870551390612e-08,1.21185439879187e-05,1.02599181165013e-05,"Trem2/Cd81/Fcgr1/Psma1/Fcgr3/H2-K1/H2-D1",7
"GO:0016072","GO:0016072","rRNA metabolic process","11/151","256/28905",0.04296875,8.2252431705298,8.41464950083821,1.14336387715453e-07,2.50053679933695e-05,2.11702848412086e-05,"Rps21/Rps27/Rpl35a/Rps19/Rpl10a/Rps8/Rpl7/Rpl26/Rps7/Ncl/Bud23",11
"GO:0042590","GO:0042590","antigen processing and presentation of exogenous peptide antigen via MHC class I","4/151","15/28905",0.266666666666667,51.046357615894,14.0495575384231,9.34076415423638e-07,0.000185711374593772,0.00015722874782107,"Fcgr1/Fcgr3/H2-K1/H2-D1",4
"GO:0002437","GO:0002437","inflammatory response to antigenic stimulus","7/151","106/28905",0.0660377358490566,12.6411970511058,8.70122067416994,1.46021444053239e-06,0.000266124081787029,0.000225308526394428,"Trem2/Cd81/Fcgr1/Psma1/Fcgr3/H2-K1/H2-D1",7
"GO:0034470","GO:0034470","ncRNA processing","12/151","411/28905",0.0291970802919708,5.58901725721468,6.79019436032246,1.84444407403097e-06,0.000288128513564695,0.000243938129791013,"Rps21/Rps27/Rpl35a/Rps19/Rpl10a/Rps8/Rpl7/Rpl26/Rps7/Ncl/Alkbh1/Bud23",12
"GO:0050727","GO:0050727","regulation of inflammatory response","12/151","411/28905",0.0291970802919708,5.58901725721468,6.79019436032246,1.84444407403097e-06,0.000288128513564695,0.000243938129791013,"Rps19/Apoe/Trem2/Cd81/Fcgr1/Tnfaip8l2/Psma1/Fcgr3/H2-K1/Abhd12/H2-D1/Otulin",12
"GO:0002863","GO:0002863","positive regulation of inflammatory response to antigenic stimulus","5/151","45/28905",0.111111111111111,21.2693156732892,9.86087591022402,3.75793289720261e-06,0.00054790661641214,0.000463873962538905,"Cd81/Fcgr1/Fcgr3/H2-K1/H2-D1",5
"GO:0016064","GO:0016064","immunoglobulin mediated immune response","10/151","302/28905",0.033112582781457,6.33853778343055,6.75831317748693,4.57358538686568e-06,0.000625151952567203,0.000529272151019522,"Trem2/Cd81/Fcgr1/C1qb/Cfh/C1qa/Fcgr3/H2-K1/H2-D1/Pou2f2",10
"GO:0019724","GO:0019724","B cell mediated immunity","10/151","305/28905",0.0327868852459016,6.27619151015091,6.71283183360233,4.98953356709691e-06,0.00064188881830829,0.000543442077060276,"Trem2/Cd81/Fcgr1/C1qb/Cfh/C1qa/Fcgr3/H2-K1/H2-D1/Pou2f2",10
