"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000026","GO:2000026","regulation of multicellular organismal development","45/229","123/1225",0.365853658536585,1.95707743103632,5.3639857387675,5.50403663520926e-07,0.000728701959287168,0.000577465211799355,"Zfp36l1/Ptprc/Tcf4/Cx3cr1/Macf1/Hif1a/Mtdh/Maf/Hk2/Ncoa3/Ccr5/Wls/Wnk1/Stab1/Sall1/Tgfbr2/Itgam/Tnfrsf21/Gsk3b/Dusp6/Picalm/Adam10/Zeb2/Itgb1/Atp2b1/Tgfbr1/Actb/Hspa5/C3ar1/Csf1r/Serpine2/Nme2/Rbm15/Lrp1/Grn/Actr2/Ctsc/Sparc/Rab14/Cyfip1/Nptn/Mef2c/Marcks/B2m/C1qc",45
"GO:0050793","GO:0050793","regulation of developmental process","65/229","210/1225",0.30952380952381,1.65574963609898,5.0037253698175,1.45028231140999e-06,0.000728701959287168,0.000577465211799355,"Ube3a/Ogt/Zfp36l1/Ptprc/Zfhx3/Epb41l2/Cflar/Tcf4/Cx3cr1/Macf1/Hif1a/Mtdh/Maf/Hk2/Ncoa3/Ccr5/Wls/Slc6a6/Ptbp1/Wnk1/Stab1/Sall1/Tgfbr2/Itgam/Tnfrsf21/Gsk3b/Dusp6/Picalm/Adam10/Zeb2/Itgb1/Atp2b1/Tgfbr1/Rdx/Lpl/Actb/Calr/Hspa5/C3ar1/Csf1r/Serpine2/Nme2/Ddx5/Rbm15/Msn/Pum2/Lrp1/Grn/Actr2/Ctsc/Sgpl1/Sparc/P2ry12/Rab14/Cyfip1/Nptn/Mef2c/Hnrnpu/Laptm5/Marcks/B2m/Cst3/Hexb/C1qc/Lgmn",65
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","14/229","21/1225",0.666666666666667,3.56622998544396,5.68552744136602,1.49671180490342e-06,0.000728701959287168,0.000577465211799355,"Malat1/Tia1/Sfpq/Tra2b/Celf2/Rbm25/Ptbp1/Dhx9/Hnrnpa1/Mbnl1/Ddx5/Rbm15/Hnrnpul1/Hnrnpu",14
"GO:0031346","GO:0031346","positive regulation of cell projection organization","25/229","54/1225",0.462962962962963,2.47654860100275,5.31918333984672,1.86823323037864e-06,0.000728701959287168,0.000577465211799355,"Itga6/Cflar/Macf1/Dynlt1f/Wls/Ptbp1/Gsk3b/Rab8b/Picalm/Zeb2/Itgb1/Tgfbr1/Arsb/Hspa5/Serpine2/Nme2/Pum2/Lrp1/Grn/Actr2/Wasf2/P2ry12/Cyfip1/Nptn/Marcks",25
"GO:0010975","GO:0010975","regulation of neuron projection development","26/229","58/1225",0.448275862068966,2.39798223159163,5.22828196275323,2.46110404627939e-06,0.000728701959287168,0.000577465211799355,"Ube3a/Itga6/Cflar/Macf1/Dynlt1f/Ccr5/Wls/Ptbp1/Gsk3b/Picalm/Adam10/Zeb2/Itgb1/Arsb/Hspa5/Itm2c/Serpine2/Nme2/Pum2/Lrp1/Grn/Actr2/Cyfip1/Nptn/Marcks/B2m",26
"GO:0009653","GO:0009653","anatomical structure morphogenesis","63/229","204/1225",0.308823529411765,1.6520035961983,4.88912324021457,2.4785780928135e-06,0.000728701959287168,0.000577465211799355,"Ube3a/Zfp36l1/Atrx/Itga6/Epb41l2/Cflar/Akap13/Tcf4/Cx3cr1/Macf1/Hif1a/Mef2a/Mtdh/Dynlt1f/Hk2/Ncoa3/Ccr5/Wls/Elk3/Wnk1/Stab1/Sall1/Tgfbr2/Gsk3b/Comt/Fli1/Picalm/Adam10/Zeb2/Itgb1/Tgfbr1/Psap/Slc40a1/Rdx/Mbnl1/Actb/Hspa5/C3ar1/Csf1r/Serpine2/B4galt1/Asph/Rbm15/Msn/Pum2/Lrp1/Grn/Actr2/Sgpl1/Wasf2/Sparc/Sf3b1/Csnk1a1/Cyfip1/Unc93b1/Hexa/Slc39a1/Nptn/Mef2c/Marcks/Cd81/Cst3/Hexb",63
"GO:0030154","GO:0030154","cell differentiation","80/229","284/1225",0.28169014084507,1.50685774032843,4.67120817455814,4.59481271179524e-06,0.000920163738406895,0.00072919050280723,"Ube3a/Ogt/Zfp36l1/Ptprc/Atp6ap1/Zfhx3/Atrx/Itga6/Cflar/Akap13/Tcf4/Cx3cr1/Macf1/Hif1a/Mef2a/Dynlt1f/Maf/Ncoa3/Ddx3x/Ccr5/Wls/Sirpa/Elk3/Pld3/Slc6a6/Ptbp1/Prrc2c/Sall1/Tgfbr2/Itgam/Ptgs1/Tnfrsf21/Gsk3b/Ssh2/Fli1/Picalm/Adam10/Zeb2/Itgb1/Tacc1/Tgfbr1/Psap/Rdx/Lpl/Marf1/Mbnl1/Actb/Calr/Arsb/Hspa5/Itm2c/Csf1r/Serpine2/B4galt1/Nme2/Ddx5/Rbm15/Msn/Pum2/Svbp/Lrp1/Grn/Actr2/Sgpl1/Wasf2/Ifngr1/P2ry12/Cyfip1/Hexa/Nptn/Mef2c/Hnrnpu/Laptm5/Marcks/B2m/Cd81/Hexb/Cd63/C1qc/Fcer1g",80
"GO:0048869","GO:0048869","cellular developmental process","80/229","284/1225",0.28169014084507,1.50685774032843,4.67120817455814,4.59481271179524e-06,0.000920163738406895,0.00072919050280723,"Ube3a/Ogt/Zfp36l1/Ptprc/Atp6ap1/Zfhx3/Atrx/Itga6/Cflar/Akap13/Tcf4/Cx3cr1/Macf1/Hif1a/Mef2a/Dynlt1f/Maf/Ncoa3/Ddx3x/Ccr5/Wls/Sirpa/Elk3/Pld3/Slc6a6/Ptbp1/Prrc2c/Sall1/Tgfbr2/Itgam/Ptgs1/Tnfrsf21/Gsk3b/Ssh2/Fli1/Picalm/Adam10/Zeb2/Itgb1/Tacc1/Tgfbr1/Psap/Rdx/Lpl/Marf1/Mbnl1/Actb/Calr/Arsb/Hspa5/Itm2c/Csf1r/Serpine2/B4galt1/Nme2/Ddx5/Rbm15/Msn/Pum2/Svbp/Lrp1/Grn/Actr2/Sgpl1/Wasf2/Ifngr1/P2ry12/Cyfip1/Hexa/Nptn/Mef2c/Hnrnpu/Laptm5/Marcks/B2m/Cd81/Hexb/Cd63/C1qc/Fcer1g",80
"GO:0031344","GO:0031344","regulation of cell projection organization","32/229","81/1225",0.395061728395062,2.11332147285568,4.96968501594864,4.69471295105559e-06,0.000920163738406895,0.00072919050280723,"Ube3a/Itga6/Cflar/Macf1/Dynlt1f/Ccr5/Wls/Ptbp1/Gsk3b/Rab8b/Picalm/Adam10/Zeb2/Itgb1/Tgfbr1/Rdx/Arsb/Hspa5/Itm2c/Serpine2/Nme2/Pum2/Lrp1/Grn/Actr2/Wasf2/P2ry12/Cyfip1/Nptn/Marcks/B2m/Gdi2",32
"GO:0030182","GO:0030182","neuron differentiation","40/229","113/1225",0.353982300884956,1.89357344359856,4.77854700459226,7.12552121828639e-06,0.00125694194290572,0.00099607286082993,"Ube3a/Zfhx3/Itga6/Cflar/Tcf4/Macf1/Hif1a/Mef2a/Dynlt1f/Ccr5/Wls/Ptbp1/Sall1/Tnfrsf21/Gsk3b/Picalm/Adam10/Zeb2/Itgb1/Tgfbr1/Psap/Actb/Calr/Arsb/Hspa5/Itm2c/Csf1r/Serpine2/Nme2/Pum2/Svbp/Lrp1/Grn/Actr2/Cyfip1/Hexa/Nptn/Mef2c/Marcks/B2m",40
