"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","62/224","96/1225",0.645833333333333,3.53190104166667,12.2189264977904,4.95768224508723e-26,7.94220695662975e-23,7.94220695662975e-23,"Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Rpl18/Rps3/Rps13/Rps15a/Rpl7/Rps19/Rps5/Rpl8/Rpl32/Rpl23/Rpl35a/Rpl27a/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Rpl4/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rpl15/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Rplp0/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl38/Rps11/Rps24",62
"GO:0140236","GO:0140236","translation at presynapse","39/224","47/1225",0.829787234042553,4.53789893617021,11.6955159550853,7.65294949254794e-23,6.1300125435309e-20,6.1300125435309e-20,"Rps26/Rps12/Rps27/Rps15a/Rpl7/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Rps10/Rpl36a/Rpl26/Rpl34/Rpl4/Rpl28/Rpl14/Rpl12/Rpl13/Rpl15/Rplp2/Rpl37a/Rpl17/Rps16/Rpl36/Rpl10a/Rpl35/Rpl29/Rpl7a/Rpl22/Rps27a/Rps28/Rps14/Rpl37/Rpl38/Rps11/Rps24",39
"GO:0140241","GO:0140241","translation at synapse","39/224","48/1225",0.8125,4.443359375,11.5083329462042,3.45731096978233e-22,1.38465304339782e-19,1.38465304339782e-19,"Rps26/Rps12/Rps27/Rps15a/Rpl7/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Rps10/Rpl36a/Rpl26/Rpl34/Rpl4/Rpl28/Rpl14/Rpl12/Rpl13/Rpl15/Rplp2/Rpl37a/Rpl17/Rps16/Rpl36/Rpl10a/Rpl35/Rpl29/Rpl7a/Rpl22/Rps27a/Rps28/Rps14/Rpl37/Rpl38/Rps11/Rps24",39
"GO:0140242","GO:0140242","translation at postsynapse","39/224","48/1225",0.8125,4.443359375,11.5083329462042,3.45731096978233e-22,1.38465304339782e-19,1.38465304339782e-19,"Rps26/Rps12/Rps27/Rps15a/Rpl7/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Rps10/Rpl36a/Rpl26/Rpl34/Rpl4/Rpl28/Rpl14/Rpl12/Rpl13/Rpl15/Rplp2/Rpl37a/Rpl17/Rps16/Rpl36/Rpl10a/Rpl35/Rpl29/Rpl7a/Rpl22/Rps27a/Rps28/Rps14/Rpl37/Rpl38/Rps11/Rps24",39
"GO:0006412","GO:0006412","translation","77/224","191/1225",0.403141361256544,2.20467931937173,8.56890935014719,2.71110690069325e-15,7.23865542485097e-13,7.23865542485097e-13,"Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Pa2g4/Rpl18/Mrps18a/Eef1b2/Rps27/Rps3/Rps13/Rps15a/Rpl7/Rps19/Eif3f/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Mrpl33/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Cdk4/Rpl4/Eef1a1/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rps27l/Rpl15/Eif5a/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Mrpl12/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Eif1/Rplp0/Rpl35/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl37/Rpl38/Rps11/Rps24",77
"GO:0043043","GO:0043043","peptide biosynthetic process","77/224","191/1225",0.403141361256544,2.20467931937173,8.56890935014719,2.71110690069325e-15,7.23865542485097e-13,7.23865542485097e-13,"Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Pa2g4/Rpl18/Mrps18a/Eef1b2/Rps27/Rps3/Rps13/Rps15a/Rpl7/Rps19/Eif3f/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Mrpl33/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Cdk4/Rpl4/Eef1a1/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rps27l/Rpl15/Eif5a/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Mrpl12/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Eif1/Rplp0/Rpl35/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl37/Rpl38/Rps11/Rps24",77
"GO:0043604","GO:0043604","amide biosynthetic process","78/224","198/1225",0.393939393939394,2.15435606060606,8.38851026061631,8.15166970183781e-15,1.86556783747774e-12,1.86556783747774e-12,"Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Pa2g4/Rpl18/Mrps18a/Eef1b2/Rps27/Rps3/Rps13/Rps15a/Rpl7/Rps19/Eif3f/Vdac1/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Mrpl33/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Cdk4/Rpl4/Eef1a1/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rps27l/Rpl15/Eif5a/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Mrpl12/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Eif1/Rplp0/Rpl35/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl37/Rpl38/Rps11/Rps24",78
"GO:0006518","GO:0006518","peptide metabolic process","78/224","214/1225",0.364485981308411,1.99328271028037,7.56313520252727,1.44140836011766e-12,2.88642024113561e-10,2.88642024113561e-10,"Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Pa2g4/Rpl18/Mrps18a/Eef1b2/Rps27/Rps3/Rps13/Rps15a/Rpl7/Rps19/Eif3f/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Mrpl33/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Cdk4/Rpl4/Eef1a1/Apoe/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rps27l/Rpl15/Eif5a/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Mrpl12/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Eif1/Rplp0/Rpl35/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl37/Rpl38/Rps11/Rps24",78
"GO:0043603","GO:0043603","amide metabolic process","80/224","227/1225",0.352422907488987,1.9273127753304,7.31933424742749,5.58116328904467e-12,9.93447065449952e-10,9.93447065449952e-10,"Npl/Rpl21/Rps21/Rplp1/Rps26/Rps12/Rps29/Pa2g4/Rpl18/Mrps18a/Eef1b2/Rps27/Rps3/Rps13/Rps15a/Rpl7/Rps19/Eif3f/Vdac1/Rps5/Rpl8/Rpl32/Rpl23/Rpl10/Rpl35a/Rpl27a/Mrpl33/Rpl18a/Rps10/Rpl36a/Rps23/Rpl39/Rpl19/Rpl26/Rpl34/Rps7/Cdk4/Rpl4/Eef1a1/Apoe/Rpl3/Rpl28/Rpl14/Rpl12/Rpl13/Rps27l/Rpl15/Eif5a/Rplp2/Pkm/Rpl37a/Rps3a1/Rps25/Rps9/Rpl17/Mcts1/Rps16/Mrpl12/Rpl36/Rpl10a/Rps4x/Eif4a1/Rpl30/Eif1/Rplp0/Rpl35/Rpl29/Rpl7a/Rpl22l1/Rps8/Rpl22/Rps27a/Rps28/Rps2/Rps14/Rps6/Rpl37/Rpl38/Rps11/Rps24",80
"GO:0042254","GO:0042254","ribosome biogenesis","34/224","61/1225",0.557377049180328,3.04815573770492,7.75977418448578,1.48518300183392e-11,2.37926316893795e-09,2.37926316893795e-09,"Rps21/Rps12/Pa2g4/Rps27/Rps13/Rps15a/Rpl7/Rps19/Rps5/Rpl10/Rpl35a/Rps23/Rpl26/Rps7/Rpl14/Emg1/Rps27l/Rps3a1/Rps25/Rps9/Rps16/Rpl10a/Glul/Rplp0/Rpl35/Rpl7a/Rps8/Rps28/Rps14/Rps6/Trmt112/Rpl38/Rps11/Rps24",34
