"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps29",1.50323181708699e-76,0.65777769111352,0.997,1,2.19742427021776e-72
"Rplp1",4.59306630567134e-56,0.979180632632698,0.986,0.807,6.71414432563036e-52
"Rpl21",7.7289240206931e-54,0.891552751983712,0.989,0.87,1.12981411334492e-49
"mt-Atp6",9.18120868561304e-52,0.761465812331531,0.997,0.981,1.34210908566291e-47
"mt-Co2",1.71591942711169e-48,0.679934699152401,0.996,0.989,2.50833101855187e-44
"Rps26",1.46295541824591e-45,0.753411370867225,0.989,0.903,2.13854823039187e-41
"Rps21",1.60901936561232e-45,0.779883858030244,0.981,0.888,2.35206450865209e-41
"Ctsb",2.01841274687594e-45,-1.16791353755732,0.941,0.955,2.95051575338326e-41
"Rps12",2.1803498276537e-42,0.752349061161021,0.98,0.877,3.18723537806418e-38
"Rps15a",5.71254706058031e-41,0.63448114929527,0.993,0.941,8.35060129315629e-37
"mt-Cytb",4.97496034054484e-38,0.638128903724951,0.996,0.963,7.27239702580845e-34
"Rps27",3.57513849512418e-37,0.558082980931268,0.995,0.993,5.22613745217252e-33
"Gm10260",5.10586997306262e-37,1.44599839440985,0.764,0.301,7.46376072662294e-33
"mt-Nd2",2.2180516366814e-33,0.897359718129836,0.931,0.703,3.24234788250087e-29
"Rpl35a",6.16104859258531e-31,0.436098301565543,0.996,0.978,9.00622083264121e-27
"mt-Nd1",1.1226822317697e-30,0.720431890015997,0.971,0.818,1.64113688640095e-26
"mt-Co1",3.1552046974365e-30,0.501685123405297,0.996,0.989,4.61227822671268e-26
"Eef1b2",4.46849165739939e-29,0.907299000295387,0.903,0.606,6.53204110478643e-25
"Rpl32",9.67573645085741e-29,0.519581055811977,0.996,0.941,1.41439915438634e-24
"Rpl8",4.63573960923284e-27,0.579988416633947,0.99,0.859,6.77652416077656e-23
"Actb",5.56551318956487e-27,-0.648132979321776,0.998,1,8.13566718050592e-23
"mt-Co3",1.04771329276245e-26,0.467419693549303,0.998,0.985,1.53154729136015e-22
"Rps10",2.92695336697295e-25,0.459803878148884,0.995,0.955,4.27862043184105e-21
"Rps19",3.52969568752718e-25,0.42993567789792,0.998,0.97,5.15970915602723e-21
"Apoe",5.61845088455402e-24,0.673182989960789,0.996,0.955,8.21305150304107e-20
"Rpl18",3.15308996845803e-23,0.489589964282307,0.982,0.911,4.60918691589194e-19
"mt-Nd5",2.83389691917722e-22,0.868849601573014,0.79,0.457,4.14259051645326e-18
"Npl",3.01843331856399e-22,1.09505842371369,0.718,0.353,4.41234582507684e-18
"Rpl10",4.10305011685876e-22,0.666023950921323,0.944,0.721,5.99783866082414e-18
"mt-Nd4",4.53051265978552e-22,0.43409045116922,0.994,0.963,6.62270340607447e-18
"Trem2",1.24650300985866e-21,0.606942781825017,0.972,0.833,1.82213809981139e-17
"Rpl13",1.68224277728356e-21,0.364949815536637,0.997,0.97,2.45910249183311e-17
"Ldhb",3.07834902698836e-21,-2.27902141631599,0.226,0.454,4.49993060765158e-17
"Rpl23",3.98978816542383e-20,0.388403137185647,0.996,0.963,5.83227234021656e-16
"Rpl37a",1.61932437832128e-19,0.317141439764866,0.997,0.996,2.36712837623004e-15
"mt-Atp8",7.92401570640264e-19,0.663513324490376,0.859,0.539,1.15833261596194e-14
"Rpl10a",1.24890781765549e-18,0.38732076605041,0.998,0.985,1.8256534478488e-14
"Rps8",1.29714541874193e-18,0.484144077420218,0.984,0.866,1.89616717311696e-14
"Rpl34",3.58791131217495e-18,0.368323074355761,0.996,0.978,5.24480875613734e-14
"Rpl39",3.60414730925962e-18,0.309297912236688,0.997,0.993,5.26854253667571e-14
