"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Qsox1",2.03843976815682e-17,-2.64401927208767,0.088,0.264,2.97979125309164e-13
"F13a1",1.53289469456005e-09,-2.48440548723208,0.024,0.104,2.24078546450789e-05
"Ldhb",3.07834902698836e-21,-2.27902141631599,0.226,0.454,4.49993060765158e-17
"Pf4",4.4521852518943e-08,-1.72582783192982,0.043,0.13,0.000650820440121909
"Ctsb",2.01841274687594e-45,-1.16791353755732,0.941,0.955,2.95051575338326e-41
"Gm2000",7.65696487920615e-09,-1.00621787464796,0.552,0.591,0.000111929512604235
"Actb",5.56551318956487e-27,-0.648132979321776,0.998,1,8.13566718050592e-23
"Qk",1.46233628018187e-09,-0.647428117834998,0.827,0.814,2.13764317436985e-05
"Sirpa",7.2776904735763e-07,-0.545129933036514,0.89,0.844,0.0106385279342738
"Gapdh",8.05776792791285e-07,-0.524218338938132,0.872,0.84,0.011778845157023
"Uba52",6.17238592844189e-16,-0.494264508771781,0.964,0.944,9.02279375019635e-12
"Grn",3.1302119374736e-06,-0.392599666551122,0.934,0.911,0.0457574381019891
