"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Qsox1",2.03843976815682e-17,-2.64401927208767,0.088,0.264,2.97979125309164e-13
"Ldhb",3.07834902698836e-21,-2.27902141631599,0.226,0.454,4.49993060765158e-17
"Gm8797",4.66048109625402e-06,-1.60379190282661,0.178,0.275,0.0681269126650413
"Dynlt1f",1.46827700866709e-05,-1.4185587321945,0.139,0.23,0.214632733126956
"Rab7b",0.0136122851135088,-1.33289591018675,0.164,0.208,1
"Pigyl",0.00288060525909607,-1.18376444383148,0.248,0.297,1
"Ctsb",2.01841274687594e-45,-1.16791353755732,0.941,0.955,2.95051575338326e-41
"Paip1",0.0243637757885906,-1.12070862671583,0.211,0.245,1
"Spp1",0.00162071776082355,-1.10820918700973,0.401,0.461,1
"Alkbh5",0.0113255073099866,-1.03309059505405,0.189,0.234,1
"Gm2000",7.65696487920615e-09,-1.00621787464796,0.552,0.591,0.000111929512604235
"Nme2",0.0129779501342981,-0.967037651763101,0.343,0.361,1
"Yae1d1",0.0258958023258677,-0.788547068582276,0.209,0.138,1
"Scd2",0.00694965856556328,-0.738775998404148,0.507,0.506,1
"Scaf11",0.0243875399925532,-0.676877550827764,0.354,0.249,1
"Actb",5.56551318956487e-27,-0.648132979321776,0.998,1,8.13566718050592e-23
"Qk",1.46233628018187e-09,-0.647428117834998,0.827,0.814,2.13764317436985e-05
"Commd7",0.00794404866584719,-0.637942643707838,0.353,0.234,1
"Adgre1",0.00432837033890288,-0.625039202654848,0.641,0.602,1
"Polr2f",0.0400477990278046,-0.619953345797198,0.503,0.468,1
"Sirpa",7.2776904735763e-07,-0.545129933036514,0.89,0.844,0.0106385279342738
"Gapdh",8.05776792791285e-07,-0.524218338938132,0.872,0.84,0.011778845157023
"Coro1b",0.0125695981447973,-0.4975409407521,0.233,0.145,1
"Uba52",6.17238592844189e-16,-0.494264508771781,0.964,0.944,9.02279375019635e-12
"Cox17",0.00364851004111948,-0.471766328069501,0.628,0.584,1
"Sowahc",0.0363035707919945,-0.471676358366489,0.23,0.152,1
"Plpp1",0.0044469343586465,-0.438803916650274,0.209,0.115,1
"Smg1",0.0489058826871518,-0.431274660969051,0.217,0.149,1
"Idh3g",0.0211633722905096,-0.424214567402848,0.222,0.141,1
"Comt",0.0460624320548348,-0.399114730250354,0.536,0.387,1
"Grn",3.1302119374736e-06,-0.392599666551122,0.934,0.911,0.0457574381019891
"Pgam1",0.0320361299137782,-0.391474078203452,0.611,0.572,1
"Ocel1",0.0328976924492175,-0.390450475659329,0.223,0.149,1
"0610012G03Rik",0.030463734423089,-0.374114928129959,0.722,0.639,1
"Tmem256",0.000348400156284611,-0.372860601909146,0.854,0.781,1
"Ndufv3",0.000738879780394755,-0.369335058284689,0.776,0.721,1
"Csf1r",0.00263843874339567,-0.363497331577762,0.956,0.933,1
"Arhgdia",0.0287714476379774,-0.359145754167028,0.733,0.662,1
"Eef2",0.0212598456872963,-0.356825138742236,0.713,0.658,1
"Mt1",0.0176974020674869,-0.353315638902302,0.829,0.781,1
"Arsb",0.00579344693566886,-0.352046753838592,0.819,0.751,1
"Cln3",0.0173283371181504,-0.337512130780668,0.25,0.156,1
"Cops9",0.00881040384700533,-0.336831461943424,0.787,0.721,1
"Myl6",0.000236485929400258,-0.331517933019352,0.902,0.807,1
"Tnpo1",0.0172360143827772,-0.320499415930857,0.206,0.13,1
"Pabpc1",0.0450422314219259,-0.316202424538536,0.904,0.81,1
"Tbc1d16",0.0215837224998996,-0.310909724538684,0.27,0.178,1
"Sdf2",0.0432165618248624,-0.309476791948319,0.266,0.182,1
"Romo1",0.00608952204643104,-0.308556685572532,0.788,0.729,1
"Lin7c",0.0490384749071991,-0.308139032492344,0.207,0.138,1
"Chchd2",0.000820694273155411,-0.30808352605884,0.912,0.844,1
"Atp6v0b",4.25996316385725e-05,-0.305397534418709,0.96,0.922,0.622721415292653
"Atxn2l",0.0276298089768385,-0.304285924365927,0.242,0.16,1
"Ntan1",0.0459949236335557,-0.302088984806908,0.217,0.145,1
"mt-Nd6",0.0052537841816703,-0.30198648709291,0.277,0.167,1
"Cers2",0.0193153636963644,-0.300946955611387,0.302,0.197,1
"Mtfr1l",0.0433451162336331,-0.291626731747364,0.255,0.175,1
"Ndufa3",0.0473071681568913,-0.283249661744773,0.83,0.71,1
"Rhoh",0.0120261283512968,-0.281506003753576,0.264,0.167,1
"Gng5",4.07648794956983e-06,-0.280470916246641,0.965,0.948,0.0595901008468117
"Pin4",0.0463557996813513,-0.277571191104929,0.349,0.238,1
"Ulk2",0.0176450242395518,-0.270462076625064,0.209,0.13,1
"Pip4k2a",0.014919396157767,-0.267222459929261,0.276,0.175,1
"Yif1b",0.0289598770947413,-0.264938623323225,0.326,0.219,1
"Mcl1",0.0354014755755889,-0.260892755760118,0.436,0.309,1
"Fth1",7.58783264542756e-06,-0.260756744533968,0.988,0.967,0.11091893761086
"Smim7",0.0444023456648123,-0.259313202385501,0.256,0.175,1
"Twf1",0.0476595844161687,-0.257848490400621,0.243,0.167,1
"Adcy7",0.0231584975604361,-0.256127490405137,0.301,0.201,1
"Etnk1",0.0428436402229406,-0.255664955574023,0.239,0.164,1
"Atp5h",0.0349518557599156,-0.25375368113468,0.81,0.703,1
"Cisd1",0.0250543893387521,-0.253328248450573,0.249,0.164,1
"Cox7a2",0.0468207731905172,-0.250989827686856,0.837,0.729,1
