"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ctsb",2.01841274687594e-45,-1.16791353755732,0.941,0.955,2.95051575338326e-41
"Actb",5.56551318956487e-27,-0.648132979321776,0.998,1,8.13566718050592e-23
"Ldhb",3.07834902698836e-21,-2.27902141631599,0.226,0.454,4.49993060765158e-17
"Qsox1",2.03843976815682e-17,-2.64401927208767,0.088,0.264,2.97979125309164e-13
"Uba52",6.17238592844189e-16,-0.494264508771781,0.964,0.944,9.02279375019635e-12
"Qk",1.46233628018187e-09,-0.647428117834998,0.827,0.814,2.13764317436985e-05
"F13a1",1.53289469456005e-09,-2.48440548723208,0.024,0.104,2.24078546450789e-05
"Gm2000",7.65696487920615e-09,-1.00621787464796,0.552,0.591,0.000111929512604235
"Pf4",4.4521852518943e-08,-1.72582783192982,0.043,0.13,0.000650820440121909
"Sirpa",7.2776904735763e-07,-0.545129933036514,0.89,0.844,0.0106385279342738
"Gapdh",8.05776792791285e-07,-0.524218338938132,0.872,0.84,0.011778845157023
"Grn",3.1302119374736e-06,-0.392599666551122,0.934,0.911,0.0457574381019891
"Gng5",4.07648794956983e-06,-0.280470916246641,0.965,0.948,0.0595901008468117
"Gm8797",4.66048109625402e-06,-1.60379190282661,0.178,0.275,0.0681269126650413
"Fth1",7.58783264542756e-06,-0.260756744533968,0.988,0.967,0.11091893761086
"Dynlt1f",1.46827700866709e-05,-1.4185587321945,0.139,0.23,0.214632733126956
"Atp6v0b",4.25996316385725e-05,-0.305397534418709,0.96,0.922,0.622721415292653
"Nudt5",0.000114609883823483,-0.311713953988223,0.19,0.086,1
"Myl6",0.000236485929400258,-0.331517933019352,0.902,0.807,1
"Tmem256",0.000348400156284611,-0.372860601909146,0.854,0.781,1
"Ndufv3",0.000738879780394755,-0.369335058284689,0.776,0.721,1
"Chchd2",0.000820694273155411,-0.30808352605884,0.912,0.844,1
"Colec12",0.00158361138484692,-1.6156898038237,0.057,0.108,1
"Spp1",0.00162071776082355,-1.10820918700973,0.401,0.461,1
"Slc44a2",0.00184648163512697,-1.46752430408305,0.123,0.182,1
"Csf1r",0.00263843874339567,-0.363497331577762,0.956,0.933,1
"Pigyl",0.00288060525909607,-1.18376444383148,0.248,0.297,1
"Cox17",0.00364851004111948,-0.471766328069501,0.628,0.584,1
"Adgre1",0.00432837033890288,-0.625039202654848,0.641,0.602,1
"Plpp1",0.0044469343586465,-0.438803916650274,0.209,0.115,1
"Taf11",0.00489281784123134,-0.294135708750682,0.157,0.082,1
"mt-Nd6",0.0052537841816703,-0.30198648709291,0.277,0.167,1
