"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC160336.1",4.24055123046328e-17,-4.27069346569437,0.089,0.576,6.19883778869122e-13
"Qsox1",1.01196787333244e-06,-4.03324352030919,0.022,0.253,0.0147929463723735
"Malat1",1.3132811660341e-34,-3.52330052731484,0.211,0.908,1.91975440850865e-30
"Ints6l",2.43554670492903e-07,-2.77627747251248,0.089,0.355,0.00356028217326525
"Rbm39",9.01489973952237e-10,-2.43400302451336,0.144,0.483,1.31779804392338e-05
"Son",1.32851994601553e-08,-2.14830523920263,0.178,0.485,0.00019420304570855
"Zfp36l1",1.06235994507043e-08,-2.12128190133928,0.178,0.492,0.000155295776770396
"Rsrp1",4.66800529744427e-08,-2.03972294982002,0.167,0.469,0.000682369014380403
"Ldhb",1.32781116148584e-07,-2.02045659145286,0.156,0.449,0.00194099435586
"Cx3cr1",8.0997043514204e-17,-1.60397096570625,0.522,0.842,1.18401478209063e-12
"Ctsb",3.86254110834094e-24,-1.5575678487258,0.822,0.961,5.64626259217279e-20
"Maf",9.10352539180013e-13,-1.40524417517033,0.6,0.835,1.33075334177334e-08
"Hnrnpa2b1",2.80063872820172e-07,-1.34135337666874,0.4,0.619,0.00409397369288527
"Sirpa",1.64647544827038e-11,-1.29712683536013,0.533,0.803,2.40681781028164e-07
"Hsp90b1",8.60033045668229e-07,-1.19005068970756,0.4,0.634,0.0125719630615782
"Qk",5.30018675444931e-07,-1.1529231758215,0.511,0.68,0.007747812997654
"Psap",2.75818211574498e-08,-0.923637201589355,0.622,0.826,0.000403191061679602
"Actb",8.98705508013321e-13,-0.861572220003238,1,0.998,1.31372771161387e-08
"Csf1r",7.12316581225536e-08,-0.844183468339462,0.711,0.873,0.00104126437843549
"Grn",1.36682108350505e-07,-0.788160749734391,0.789,0.862,0.00199801905986768
"Atp6v0b",8.09067501404614e-07,-0.711361581416563,0.744,0.864,0.0118269487355326
