"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ppp1r9a",0.000162086295201683,-6.09436183199318,0,0.14,1
"Kcnq1ot1",0.00027880374538598,-6.01522094420612,0,0.131,1
"Prpf39",0.000589843874792109,-5.81157564430787,0,0.118,1
"Uty",0.000810514051086694,-5.62940289621931,0,0.113,1
"Gramd1a",0.000729197389806853,-5.48505885984537,0,0.115,1
"Eif2s3y",0.00168940622582474,-5.29027988165695,0,0.101,1
"Gm13075",0.00168940622582474,-5.25359503708801,0,0.101,1
"Exosc2",3.22776631982154e-05,-4.62112857929478,0.022,0.203,0.471834880631512
"Ccnt2",0.000159938425468009,-4.57530617433468,0.011,0.158,1
"Rbm47",0.000213558709945477,-4.37214187084017,0.011,0.154,1
"AC160336.1",4.24055123046328e-17,-4.27069346569437,0.089,0.576,6.19883778869122e-13
"Qsox1",1.01196787333244e-06,-4.03324352030919,0.022,0.253,0.0147929463723735
"Slc16a6",0.00302507424209404,-3.93615107914361,0.011,0.11,1
"Rgl2",0.000367433361173138,-3.88695082769639,0.022,0.162,1
"Plekha1",0.0042669630140769,-3.75596681658993,0.011,0.104,1
"Myo1c",0.000535405115803318,-3.60289182575558,0.033,0.174,1
"Malat1",1.3132811660341e-34,-3.52330052731484,0.211,0.908,1.91975440850865e-30
"Leng8",0.00293917831102536,-3.51632939760071,0.011,0.111,1
"Uba5",0.00191893592723565,-3.4836668933404,0.022,0.135,1
"Tmem181a",0.00475881160897744,-3.47953629102102,0.011,0.102,1
"Cenpf",0.00198837419674811,-3.41030523201683,0.011,0.118,1
"Srek1ip1",0.000363820121709605,-3.31550227050796,0.022,0.163,1
"Sbno1",0.000777811199516722,-3.2322146815448,0.011,0.135,1
"Loxl2",0.00468449979290487,-3.18686725214723,0.033,0.136,1
"Csnk2a1",0.0054199175314413,-3.11389432414255,0.033,0.133,1
"Pf4",0.0258697224089218,-3.09540488755738,0.044,0.122,1
"Fgd4",0.00335654973178254,-3.08962955278645,0.011,0.11,1
"Pola2",1.3723327050607e-05,-3.08093575743836,0.033,0.235,0.200607594825773
"2310035C23Rik",0.00509691235253206,-3.07988440206594,0.011,0.102,1
"Cwf19l2",0.00122793863679339,-3.0718382329956,0.011,0.127,1
"Synrg",0.00158595923073958,-3.06934901636773,0.022,0.14,1
"Chordc1",0.00854856760443501,-3.04310922122139,0.022,0.11,1
"Sec63",0.0107165003298467,-3.04250122967717,0.022,0.106,1
"Pnisr",6.02643542127739e-05,-3.0365884016101,0.022,0.196,0.880944329882328
"Nfxl1",0.00420933382203288,-3.00828836775486,0.011,0.106,1
"Arhgap4",0.00219489342189464,-3.00373527922537,0.022,0.135,1
"Fnip2",0.00154220750821421,-2.97530702062328,0.033,0.156,1
"Taf1d",0.000229894413541558,-2.96120607287382,0.022,0.174,1
"Tia1",2.53680408640847e-05,-2.94489104568609,0.044,0.237,0.37083002135119
"Pten",0.00536602808247796,-2.93772995283828,0.033,0.133,1
"Srek1",0.00145558843529467,-2.90478296454575,0.033,0.158,1
"Mindy2",0.00473927830477848,-2.86360222422016,0.022,0.12,1
"Nsd3",0.00140242835607175,-2.82593877091061,0.022,0.144,1
"Ttc14",0.00180402021627076,-2.80727456462809,0.033,0.153,1
"Ints6l",2.43554670492903e-07,-2.77627747251248,0.089,0.355,0.00356028217326525
"Setd5",0.00884637436182675,-2.77455017778219,0.033,0.126,1
"Chd2",0.00799418036665439,-2.71608323491045,0.033,0.127,1
"Rnasel",0.00393533326260678,-2.70302589637971,0.011,0.108,1
"Rbm26",0.00322218081641612,-2.6953929979673,0.033,0.144,1
"Snhg20",3.29870325539939e-05,-2.69237213143642,0.033,0.224,0.482204441874282
"Zfp91",0.00146065185327194,-2.66942371421718,0.033,0.158,1
"Arhgap45",6.46574857035836e-06,-2.66935918114904,0.033,0.251,0.0945163126014986
"Srp72",0.0120133367494614,-2.66436670324108,0.022,0.104,1
"Sf3b3",0.00587399869276431,-2.61184071222691,0.022,0.118,1
"Dpp7",0.00124745964446478,-2.59379567912038,0.033,0.162,1
"Slc36a1",0.0136933064497252,-2.59269541797095,0.022,0.102,1
"Luc7l3",0.00116464293623372,-2.57984460971935,0.033,0.163,1
"Tnrc6b",0.00571535104361278,-2.51784184948984,0.033,0.135,1
"Ubn2",0.0109979313312079,-2.45217402841645,0.033,0.122,1
"Jmjd1c",0.000195011920131293,-2.44189492410719,0.056,0.221,1
"Rbm39",9.01489973952237e-10,-2.43400302451336,0.144,0.483,1.31779804392338e-05
"Lrmp",0.00396689694915694,-2.42106579742084,0.033,0.142,1
"Thrap3",0.00087663278981238,-2.41399119136776,0.033,0.169,1
