"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Malat1",1.3132811660341e-34,-3.52330052731484,0.211,0.908,1.91975440850865e-30
"Ctsb",3.86254110834094e-24,-1.5575678487258,0.822,0.961,5.64626259217279e-20
"AC160336.1",4.24055123046328e-17,-4.27069346569437,0.089,0.576,6.19883778869122e-13
"Cx3cr1",8.0997043514204e-17,-1.60397096570625,0.522,0.842,1.18401478209063e-12
"Actb",8.98705508013321e-13,-0.861572220003238,1,0.998,1.31372771161387e-08
"Maf",9.10352539180013e-13,-1.40524417517033,0.6,0.835,1.33075334177334e-08
"Sirpa",1.64647544827038e-11,-1.29712683536013,0.533,0.803,2.40681781028164e-07
"Rbm39",9.01489973952237e-10,-2.43400302451336,0.144,0.483,1.31779804392338e-05
"Zfp36l1",1.06235994507043e-08,-2.12128190133928,0.178,0.492,0.000155295776770396
"Son",1.32851994601553e-08,-2.14830523920263,0.178,0.485,0.00019420304570855
"Psap",2.75818211574498e-08,-0.923637201589355,0.622,0.826,0.000403191061679602
"Rsrp1",4.66800529744427e-08,-2.03972294982002,0.167,0.469,0.000682369014380403
"Csf1r",7.12316581225536e-08,-0.844183468339462,0.711,0.873,0.00104126437843549
"Ldhb",1.32781116148584e-07,-2.02045659145286,0.156,0.449,0.00194099435586
"Grn",1.36682108350505e-07,-0.788160749734391,0.789,0.862,0.00199801905986768
"Ints6l",2.43554670492903e-07,-2.77627747251248,0.089,0.355,0.00356028217326525
"Hnrnpa2b1",2.80063872820172e-07,-1.34135337666874,0.4,0.619,0.00409397369288527
"Qk",5.30018675444931e-07,-1.1529231758215,0.511,0.68,0.007747812997654
"Atp6v0b",8.09067501404614e-07,-0.711361581416563,0.744,0.864,0.0118269487355326
"Hsp90b1",8.60033045668229e-07,-1.19005068970756,0.4,0.634,0.0125719630615782
"Qsox1",1.01196787333244e-06,-4.03324352030919,0.022,0.253,0.0147929463723735
"Snhg9",5.16477188586828e-06,-2.25286792023001,0.1,0.334,0.0754986354276225
"Arhgap45",6.46574857035836e-06,-2.66935918114904,0.033,0.251,0.0945163126014986
"Sfpq",6.67890493446635e-06,-1.65588213331934,0.189,0.422,0.0976322323320292
"Mtdh",1.30750787466915e-05,-1.48561564618874,0.178,0.422,0.191131501119136
"Pola2",1.3723327050607e-05,-3.08093575743836,0.033,0.235,0.200607594825773
"Cst3",1.81802438566954e-05,-0.415518211103878,0.989,0.998,0.265758804697173
"Fus",2.48684365494101e-05,-1.67817064066282,0.144,0.377,0.363526805479277
"Tia1",2.53680408640847e-05,-2.94489104568609,0.044,0.237,0.37083002135119
"Exosc2",3.22776631982154e-05,-4.62112857929478,0.022,0.203,0.471834880631512
"Zfhx3",3.27473701989333e-05,-1.92467230108616,0.067,0.273,0.478701057568008
"Snhg20",3.29870325539939e-05,-2.69237213143642,0.033,0.224,0.482204441874282
"Marcks",3.47585417557587e-05,-0.486970761396568,0.944,0.961,0.508100363385681
"Epb41l2",3.70208661053812e-05,-1.80402567693286,0.167,0.375,0.541171020728463
"Picalm",5.17382649537149e-05,-1.0290212549585,0.4,0.596,0.756309957093404
"Pnisr",6.02643542127739e-05,-3.0365884016101,0.022,0.196,0.880944329882328
"Ctsd",6.6594517649749e-05,-0.530589698581315,0.967,0.961,0.973478659004032
"Arglu1",6.70050658499845e-05,-1.93359762143246,0.122,0.321,0.979480052595074
"Pabpc1",7.29028675590421e-05,-0.653740456160928,0.722,0.808,1
"Gm47283",9.00814108114137e-05,-1.33140637480228,0.289,0.501,1
"Tmem245",9.69876215436487e-05,-2.22467626965978,0.122,0.307,1
"Luc7l2",0.000103147938608322,-1.77117212668763,0.144,0.343,1
"Wsb1",0.000104139776849652,-1.65141387725172,0.1,0.302,1
"Rrbp1",0.000116765713420275,-1.10929347491395,0.267,0.488,1
"Laptm5",0.000123870613702986,-0.591358793344117,0.678,0.776,1
"Cd164",0.000145379531994783,-1.40878953176834,0.178,0.384,1
"Atrx",0.00014771960382687,-1.88976031950692,0.078,0.262,1
"Ogt",0.000151820068916201,-2.26496610157841,0.067,0.242,1
"Ccnt2",0.000159938425468009,-4.57530617433468,0.011,0.158,1
"Rbm25",0.000161365441452995,-1.56955058959583,0.133,0.33,1
"Ppp1r9a",0.000162086295201683,-6.09436183199318,0,0.14,1
"Ivns1abp",0.00017256572563267,-2.08009579796785,0.1,0.28,1
"Jmjd1c",0.000195011920131293,-2.44189492410719,0.056,0.221,1
"Rbm47",0.000213558709945477,-4.37214187084017,0.011,0.154,1
"Hnrnph1",0.000222577526342283,-1.15742831152722,0.156,0.357,1
"Taf1d",0.000229894413541558,-2.96120607287382,0.022,0.174,1
"Ptprc",0.000248342764243332,-1.98113881815014,0.111,0.289,1
"Macf1",0.000277873315538421,-1.54762167531526,0.122,0.307,1
"Kcnq1ot1",0.00027880374538598,-6.01522094420612,0,0.131,1
"Atp6ap1",0.000309471415072421,-1.95204478965234,0.1,0.273,1
"Serinc3",0.000318103422944402,-0.64345538652993,0.678,0.794,1
"Zranb2",0.000326879609781185,-1.86373866134643,0.033,0.189,1
"Arsb",0.000331117226122321,-0.855144989378026,0.511,0.661,1
"Gm26917",0.0003605988046815,-0.640265504881802,0.067,0.235,1
