"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rps29",7.94539831917776e-25,0.652260598895173,1,1,1.1614583262974e-20
"Ctsb",1.15058349988892e-22,-1.04762316300063,1,1,1.68192296013762e-18
"Rplp1",1.72843446683188e-21,1.02321096035303,1,0.937,2.52662550361485e-17
"Rps26",2.23059027907317e-18,0.95701670748152,1,0.921,3.26067686994916e-14
"Rps27",5.95680965514253e-16,0.718337179632342,1,0.968,8.70766435388735e-12
"mt-Atp6",7.48966920647039e-16,0.704612522913306,1,1,1.09483984460184e-11
"Rpl21",3.76999876389982e-15,0.743840705865991,1,0.952,5.51098419306875e-11
"Rps12",4.33359944277452e-15,0.735511162600358,0.995,0.984,6.3348556654478e-11
"mt-Nd2",2.48944608009193e-14,0.828800600876333,0.995,0.857,3.63907227987838e-10
"Rps21",2.81504802257133e-14,0.737676747812598,0.991,0.984,4.11503719939477e-10
"mt-Co3",1.67354601603771e-13,0.527275046913975,1,1,2.44638956624393e-09
"Rps15a",3.72453236698387e-13,0.631762977046152,1,0.937,5.44452141405702e-09
"Rpl13",1.68555598125264e-12,0.49088689167171,1,0.984,2.46394573339512e-08
"Rpl35a",2.13877107283331e-12,0.494071385637294,1,0.984,3.12645555426773e-08
"mt-Co2",2.36356736127364e-12,0.559356482372036,1,1,3.4550627687098e-08
"Rpl8",2.99346307807304e-12,0.724073055844435,0.995,0.905,4.37584432752717e-08
"Rpl32",3.88461010667231e-12,0.610383246762523,1,0.952,5.67852305393358e-08
"Rps19",4.79106577935598e-12,0.496157195243068,1,0.984,7.00357995626258e-08
"Rpl27a",3.28611164412145e-11,0.506459562939533,1,0.952,4.80363800137674e-07
"Rpl23",3.30567106564626e-11,0.523518694016469,1,1,4.83222996376171e-07
"Rps3",4.81964026171817e-11,0.642456399530802,1,0.937,7.04535013457962e-07
"Rpl18",5.54658800243934e-11,0.654179382743989,1,0.905,8.10800234196583e-07
"mt-Cytb",7.08826477382608e-11,0.515161901006082,1,1,1.0361625446379e-06
"Rpl7",2.0640568234035e-10,0.735875588137291,0.991,0.889,3.01723826445123e-06
"Actb",2.53287469891517e-10,-0.799793984192176,1,1,3.7025562348742e-06
"Rpl26",8.62830248226186e-10,0.522150745795383,0.991,0.968,1.26128525685704e-05
"Eef1b2",1.00371187598921e-09,0.943879487243902,0.968,0.714,1.46722602032103e-05
"Gm10260",1.02441450565812e-09,1.04854783079719,0.877,0.429,1.49748912437105e-05
"mt-Atp8",1.43208649626868e-09,0.865165953158412,0.968,0.54,2.09342404024556e-05
"mt-Nd1",2.13594539426101e-09,0.575523400225042,1,0.952,3.12232497733075e-05
"Rps5",7.46054883181821e-09,0.603851668588931,1,0.952,0.000109058302823519
"mt-Co1",1.67820953897432e-08,0.368789537045322,1,1,0.000245320670407267
