"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Asf1b",5.82166685950329e-11,4.24802697464096,0.5,0.009,8.51011261522191e-07
"Emid1",3.17721376732072e-08,6.53499559544004,0.375,0.009,0.000464445108506943
"Naprt",5.66875346859943e-08,4.47058489161166,0.375,0.009,0.000828658382039865
"Rrm2",8.94902392179063e-08,3.84568310537463,0.5,0.027,0.00130816831688735
"Lrrc42",1.58442197711409e-07,5.95699412902044,0.25,0,0.00231610804614537
"Fbxo5",1.58442197711409e-07,6.41020871151075,0.25,0,0.00231610804614537
"Prim1",1.16591201162899e-06,4.62481167015279,0.375,0.018,0.0170433017859926
"Rps29",3.47564820594333e-06,1.02515741433827,1,1,0.0508070254744796
"Nop2",6.06986012906943e-06,2.96726676161134,0.5,0.045,0.0887292153667369
"Wipi2",1.62885076212277e-05,3.16206626615772,0.5,0.055,0.238105404407106
"Rcl1",1.98850947288944e-05,3.30370030063933,0.5,0.055,0.290680314746978
"Rtca",2.17598752309762e-05,2.73053560422619,0.375,0.027,0.31808585612641
"Ftsj3",2.32013075936345e-05,2.43531817950374,0.625,0.082,0.339156714403749
"Dut",2.3294302158197e-05,2.54177081005385,0.75,0.145,0.340516108948524
"Ctsb",2.52769945825023e-05,-1.50707169644478,1,1,0.369499106807019
"Rbm18",2.9024442373943e-05,4.75881856419831,0.25,0.009,0.424279298622299
"Scyl2",3.44695245394021e-05,4.34010543703319,0.25,0.009,0.50387550971698
"Zdhhc2",3.44695245394021e-05,4.78866835413075,0.25,0.009,0.50387550971698
"Haus4",3.44695245394021e-05,5.04731393305036,0.25,0.009,0.50387550971698
"Cisd3",3.44695245394021e-05,4.47866579118243,0.25,0.009,0.50387550971698
"Ppp1r16a",3.44695245394021e-05,4.73395876211621,0.25,0.009,0.50387550971698
"1700025G04Rik",4.08758668145582e-05,4.18267636204827,0.25,0.009,0.597523421095212
"Car13",4.08758668145582e-05,4.42748433478942,0.25,0.009,0.597523421095212
"Tmem35b",4.08758668145582e-05,4.43766448006922,0.25,0.009,0.597523421095212
"Nup43",4.08758668145582e-05,3.85837224515283,0.25,0.009,0.597523421095212
"Cdca7l",4.08758668145582e-05,4.4661681392985,0.25,0.009,0.597523421095212
"Myg1",4.08758668145582e-05,4.20815864065446,0.25,0.009,0.597523421095212
"Prodh",4.08758668145582e-05,4.45383336673649,0.25,0.009,0.597523421095212
"Taf5",4.08758668145582e-05,4.28896327064775,0.25,0.009,0.597523421095212
"Ifi27",6.22930041236377e-05,2.62509093226924,0.625,0.118,0.910599134279335
"Nsmce1",7.72536795090823e-05,2.45101833833474,0.625,0.109,1
"D10Jhu81e",9.27428341108526e-05,3.57900223874185,0.375,0.036,1
"Rplp1",9.9732727341037e-05,1.05328789317316,1,0.964,1
