"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Emid1",1.13803061426642e-17,4.36253011719292,0.246,0.011,1.66357315193465e-13
"Tom1l1",3.55762518081586e-07,3.04583260761565,0.111,0.011,0.00520053648931662
"Phgdh",2.04970735273691e-08,3.00256481487027,0.142,0.019,0.000299626220823082
"Scn1b",7.20241580421809e-10,2.23245135175989,0.17,0.022,1.0528491422606e-05
"Alkbh1",1.91318828634018e-06,1.72076389953896,0.14,0.033,0.0279669863697208
"Arid5b",2.45170400773172e-06,1.59728764333216,0.15,0.041,0.0358390091850223
"Gm26735",3.29233028835239e-06,1.52054070747188,0.137,0.033,0.0481272841551353
"Tmem37",6.07176936366851e-07,1.45032965927451,0.175,0.052,0.00887571245581063
"Gm10260",5.10586997306262e-37,1.44599839440985,0.764,0.301,7.46376072662294e-33
"Gm8186",9.81527001369617e-13,1.40076294894227,0.321,0.093,1.43479617060211e-08
"Rpl27-ps3",1.64505275507202e-17,1.34254225951398,0.491,0.178,2.40473811736428e-13
"Sft2d1",4.08144358369806e-08,1.24937906052438,0.245,0.086,0.000596625423064983
"Mzt2",5.75958592878715e-07,1.21140709292053,0.19,0.059,0.00841936271070105
"Smg7",8.30077903443432e-11,1.14873332246589,0.256,0.063,1.21340787925361e-06
"Rbmxl1",2.80743488165265e-08,1.10333399008626,0.275,0.104,0.000410390830999984
"Npl",3.01843331856399e-22,1.09505842371369,0.718,0.353,4.41234582507684e-18
"Rplp1",4.59306630567134e-56,0.979180632632698,0.986,0.807,6.71414432563036e-52
"Ech1",1.05701268562128e-08,0.939649458193055,0.278,0.1,0.000154514114384119
"Eef1b2",4.46849165739939e-29,0.907299000295387,0.903,0.606,6.53204110478643e-25
"Sqor",1.75725987590756e-08,0.902358832737662,0.264,0.093,0.000256876248660167
"mt-Nd2",2.2180516366814e-33,0.897359718129836,0.931,0.703,3.24234788250087e-29
"Rpl21",7.7289240206931e-54,0.891552751983712,0.989,0.87,1.12981411334492e-49
"mt-Nd5",2.83389691917722e-22,0.868849601573014,0.79,0.457,4.14259051645326e-18
"Gm2244",6.10308535799712e-08,0.855386941710226,0.159,0.03,0.000892149017632019
"Cd83",1.47027859730993e-08,0.84477506812813,0.392,0.19,0.000214925325354765
"BC005561",2.56129974375881e-06,0.800992241091807,0.216,0.082,0.0374410796542663
"Csnk1g2",2.56063057784573e-06,0.800665162754013,0.156,0.045,0.0374312977869488
"Ormdl2",1.49277258804576e-06,0.790323034247489,0.261,0.112,0.0218213496920529
"Rps21",1.60901936561232e-45,0.779883858030244,0.981,0.888,2.35206450865209e-41
"Lrpap1",3.68380504958766e-08,0.767185011628077,0.298,0.119,0.000538498622148724
"mt-Atp6",9.18120868561304e-52,0.761465812331531,0.997,0.981,1.34210908566291e-47
"Fcgr1",3.87063151962639e-11,0.757375205751684,0.577,0.294,5.65808915538985e-07
"Rps26",1.46295541824591e-45,0.753411370867225,0.989,0.903,2.13854823039187e-41
"Rps12",2.1803498276537e-42,0.752349061161021,0.98,0.877,3.18723537806418e-38
"Saysd1",2.3634940485795e-06,0.741620798063476,0.184,0.059,0.0345495560021352
"Tia1",1.58384256301313e-06,0.735664218912215,0.35,0.182,0.0231526105861259
"mt-Nd1",1.1226822317697e-30,0.720431890015997,0.971,0.818,1.64113688640095e-26
"Ethe1",4.05321871522513e-07,0.718009621838932,0.312,0.141,0.0059249951179161
"Slc25a3",4.01539340814866e-16,0.715001309239615,0.813,0.491,5.86970208403172e-12
"Eif3f",1.06008651485915e-11,0.70452954144618,0.703,0.42,1.54963446742111e-07
"Psmd6",1.19166743550046e-06,0.694279295814308,0.273,0.119,0.0174197945721457
"Zmat2",4.23668569461403e-07,0.692542566824537,0.281,0.119,0.00619318714838679
"Bcl2a1b",9.65363142079892e-15,0.690527636037976,0.671,0.346,1.41116784109239e-10
"mt-Co2",1.71591942711169e-48,0.679934699152401,0.996,0.989,2.50833101855187e-44
"Rnh1",1.32012877476807e-07,0.676147168151705,0.36,0.171,0.00192976424295596
"Apoe",5.61845088455402e-24,0.673182989960789,0.996,0.955,8.21305150304107e-20
"Rpl10",4.10305011685876e-22,0.666023950921323,0.944,0.721,5.99783866082414e-18
"Gm10073",1.46365429282448e-06,0.664401043678091,0.182,0.056,0.0213956984525083
"mt-Atp8",7.92401570640264e-19,0.663513324490376,0.859,0.539,1.15833261596194e-14
"Slc2a5",9.0331439120009e-07,0.660960919440883,0.211,0.071,0.0132046497705629
"Gm3550",1.24597528726479e-10,0.658651343504856,0.6,0.327,1.82136667492368e-06
"Rps29",1.50323181708699e-76,0.65777769111352,0.997,1,2.19742427021776e-72
"Ifngr2",1.06681548663917e-10,0.65688825608305,0.467,0.212,1.55947087836914e-06
"Cdc34",1.82959879109483e-07,0.647413832225493,0.355,0.171,0.00267450751282242
"mt-Cytb",4.97496034054484e-38,0.638128903724951,0.996,0.963,7.27239702580845e-34
"Rps15a",5.71254706058031e-41,0.63448114929527,0.993,0.941,8.35060129315629e-37
"Cryba4",3.25953160046842e-14,0.62593349634948,0.691,0.361,4.76478329356473e-10
"Gmpr",4.1384323133836e-07,0.624739570099357,0.28,0.115,0.00604956035570415
"Trem2",1.24650300985866e-21,0.606942781825017,0.972,0.833,1.82213809981139e-17
"Tmem86a",1.49136063639254e-08,0.59954749875409,0.442,0.219,0.000218007097827861
"Ap2b1",3.82482646897144e-07,0.594418355863846,0.253,0.097,0.00559113133234246
"Wbp4",2.52425414130109e-06,0.593176961831476,0.239,0.097,0.0368995470375394
"Lsm5",1.91819090866111e-07,0.584908797705923,0.409,0.212,0.0028040114702808
"Acot13",5.49587788267519e-07,0.582106359944746,0.32,0.149,0.0080338742888946
"Rpl8",4.63573960923284e-27,0.579988416633947,0.99,0.859,6.77652416077656e-23
"Blnk",5.89670189124347e-07,0.577751249749856,0.302,0.134,0.0086197988246197
"Eva1a",2.01193435606125e-06,0.572552200944116,0.298,0.138,0.0294104564169034
"Rogdi",2.65936840718981e-07,0.566080786420011,0.343,0.16,0.00388746473763006
"Tnfaip8l2",1.86337593464289e-09,0.565465672132451,0.497,0.253,2.72388294126098e-05
"Rps27",3.57513849512418e-37,0.558082980931268,0.995,0.993,5.22613745217252e-33
"H2-K1",9.79191777206589e-07,0.552180737576588,0.411,0.219,0.0143138253992059
"Polr2m",2.31515458693696e-06,0.540409770754402,0.228,0.089,0.0338429297518445
"Bhlhe41",1.07943178445026e-08,0.540146799907497,0.512,0.283,0.000157791338250939
"Map2k2",1.0560219862018e-07,0.53810250523999,0.503,0.283,0.00154369293942979
"Bnip2",1.09318026142002e-06,0.537983649939711,0.349,0.171,0.0159801090614379
"Gipc1",5.89984335608665e-08,0.527628088813918,0.375,0.175,0.000862439101792746
"Emc7",1.60352672419029e-07,0.519677960256244,0.398,0.193,0.00234403536542137
"Rpl32",9.67573645085741e-29,0.519581055811977,0.996,0.941,1.41439915438634e-24
"Syf2",7.26231749611976e-07,0.507910943539034,0.276,0.119,0.0106160557158279
"mt-Co1",3.1552046974365e-30,0.501685123405297,0.996,0.989,4.61227822671268e-26
"mt-Nd3",1.50125762624678e-14,0.497994496816325,0.905,0.673,2.19453839804755e-10
"Commd2",2.21485520107655e-06,0.494475026315552,0.298,0.138,0.032376753329337
"Rpl18",3.15308996845803e-23,0.489589964282307,0.982,0.911,4.60918691589194e-19
"Cldnd1",1.25080517456451e-06,0.487830341646333,0.246,0.097,0.0182842700417841
"Rpl12",1.03285629589055e-15,0.487380182426538,0.934,0.743,1.5098293333328e-11
"1810011H11Rik",2.01617360087223e-06,0.484896704986741,0.295,0.13,0.0294724256975503
"Rps8",1.29714541874193e-18,0.484144077420218,0.984,0.866,1.89616717311696e-14
"Btg1",2.24755566722898e-07,0.482167726503839,0.657,0.416,0.00328547687435532
"1110004F10Rik",1.41430960852244e-06,0.478062513374024,0.413,0.223,0.020674377857381
