"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm10260",1.22116872661055e-15,1.75385635265619,0.644,0.273,1.7851044445593e-11
"Gm8186",2.8526658814878e-05,1.66617114049921,0.233,0.09,0.417002698555887
"Ethe1",2.27941485441843e-07,1.65303034216627,0.333,0.131,0.00333204863418886
"Npl",4.09979877655516e-13,1.43324767550892,0.7,0.334,5.99308585156833e-09
"Nt5dc2",7.31003940371113e-05,1.43042462781597,0.211,0.079,1
"Mrpl2",0.000468519901515698,1.36619341781938,0.244,0.118,1
"Eno1",1.68850798263272e-06,1.26869124806817,0.467,0.259,0.0246826096901251
"Rpl21",6.41078809255384e-33,1.25601477541501,1,0.856,9.3712900336952e-29
"Rps21",8.42373324017802e-31,1.23901784715259,0.989,0.84,1.23138132504922e-26
"Rplp1",1.40410560913398e-25,1.1988432540839,1,0.833,2.05252157943206e-21
"Mcrs1",0.00497961510815928,1.17746142942041,0.2,0.102,1
"Wdr89",0.00344357134749677,1.17358068396027,0.256,0.144,1
"Timm8a1",0.00682812808906512,1.15844136042276,0.211,0.115,1
"mt-Atp8",7.93044319049925e-13,1.15046611680834,0.822,0.542,1.15927218558718e-08
"Apoc1",4.08649602767907e-05,1.14530815550593,0.556,0.332,0.597363989326126
"Rps26",3.22299960228581e-23,1.1130694008066,0.989,0.889,4.7113808186214e-19
"Tyms",0.00509766101747522,1.10082858760531,0.2,0.101,1
"Rpl27-ps3",3.87918248669074e-05,1.0827874133005,0.333,0.16,0.567058895904452
"Polr2m",0.00036774895538858,1.08214518854845,0.233,0.102,1
"Rps12",5.26403406818682e-19,1.04299822280827,0.978,0.828,7.6949650008755e-15
"Psma5",6.5364270912522e-05,1.03603135938125,0.4,0.226,0.955494912199247
"mt-Atp6",1.28932676463512e-21,1.00919565369817,0.989,0.971,1.88473786454362e-17
"Bcl2a1d",0.000401817781238422,1.00803327416094,0.333,0.178,1
"Mrpl49",0.00508917277270162,1.0056891469623,0.211,0.11,1
"Cops4",0.00589292749172246,0.984543202994032,0.2,0.102,1
"mt-Nd2",3.64244631015358e-10,0.975490733846831,0.856,0.65,5.32452801618251e-06
"Commd3",0.000539957782135568,0.971808041909915,0.378,0.221,1
"Hsd17b10",0.0145550205385098,0.964493545372317,0.222,0.131,1
"Nsmce1",0.00218682371932548,0.954400926507418,0.2,0.092,1
"Rps29",3.40817078640113e-42,0.950083721005173,1,1,4.98206405556117e-38
"Pa2g4",0.0139268314094216,0.949569113580842,0.289,0.192,1
"mt-Co2",1.90952969823699e-21,0.936522146724402,1,0.977,2.79135051288283e-17
"mt-Cytb",4.30461193681344e-16,0.919227053695429,1,0.961,6.29248172923388e-12
"Rpl18",2.03358730619549e-19,0.918115974685188,0.989,0.867,2.97269792419657e-15
"Mrps18a",0.00233525541650161,0.908013244956289,0.356,0.224,1
"Rfc2",0.0432962468152015,0.902696535071085,0.222,0.149,1
"Eef1b2",4.79589004572926e-09,0.898392637630309,0.833,0.6,7.01063206884704e-05
