"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Emid1",2.46211039662605e-12,4.37881959301546,0.144,0.011,3.59911297778796e-08
"Gm10260",1.22116872661055e-15,1.75385635265619,0.644,0.273,1.7851044445593e-11
"Ethe1",2.27941485441843e-07,1.65303034216627,0.333,0.131,0.00333204863418886
"Npl",4.09979877655516e-13,1.43324767550892,0.7,0.334,5.99308585156833e-09
"Eno1",1.68850798263272e-06,1.26869124806817,0.467,0.259,0.0246826096901251
"Rpl21",6.41078809255384e-33,1.25601477541501,1,0.856,9.3712900336952e-29
"Rps21",8.42373324017802e-31,1.23901784715259,0.989,0.84,1.23138132504922e-26
"Rplp1",1.40410560913398e-25,1.1988432540839,1,0.833,2.05252157943206e-21
"mt-Atp8",7.93044319049925e-13,1.15046611680834,0.822,0.542,1.15927218558718e-08
"Rps26",3.22299960228581e-23,1.1130694008066,0.989,0.889,4.7113808186214e-19
"Rps12",5.26403406818682e-19,1.04299822280827,0.978,0.828,7.6949650008755e-15
"mt-Atp6",1.28932676463512e-21,1.00919565369817,0.989,0.971,1.88473786454362e-17
"mt-Nd2",3.64244631015358e-10,0.975490733846831,0.856,0.65,5.32452801618251e-06
"Rps29",3.40817078640113e-42,0.950083721005173,1,1,4.98206405556117e-38
"mt-Co2",1.90952969823699e-21,0.936522146724402,1,0.977,2.79135051288283e-17
"mt-Cytb",4.30461193681344e-16,0.919227053695429,1,0.961,6.29248172923388e-12
"Rpl18",2.03358730619549e-19,0.918115974685188,0.989,0.867,2.97269792419657e-15
"Eef1b2",4.79589004572926e-09,0.898392637630309,0.833,0.6,7.01063206884704e-05
"Rps27",9.55326056216621e-21,0.8852270209598,1,0.975,1.39649562897746e-16
"Rps3",1.35584854280961e-19,0.879044581541416,1,0.919,1.98197939987909e-15
"Rps13",1.52923369873108e-17,0.877134409314079,1,0.844,2.23543382080509e-13
"Rps15a",7.79376989605571e-24,0.856438711911512,1,0.935,1.13929328340542e-19
"Rpl7",6.2396869699848e-14,0.851725644733828,0.978,0.795,9.12117441272378e-10
"Rps19",3.36115914270537e-23,0.838800301206405,1,0.969,4.9133424348067e-19
"Eif3f",2.09351806422753e-06,0.824238210880075,0.644,0.395,0.0306030470628781
"Rps5",1.52856623065437e-17,0.817010797032678,1,0.907,2.23445811597056e-13
"Slc25a3",9.61463084560343e-07,0.807063278871557,0.744,0.515,0.0140546673701031
"Rpl8",5.58707730910277e-15,0.804727651018271,0.989,0.876,8.16718961044643e-11
"mt-Nd4",2.91580607669758e-16,0.800391480333807,0.989,0.946,4.26232532291653e-12
"mt-Co1",1.07747313286394e-15,0.790623189339628,1,0.98,1.57505022562051e-11
"Rpl32",1.50202416472871e-20,0.785057517201353,1,0.952,2.19565892400042e-16
"Rpl23",8.164567162427e-23,0.7802780500034,1,0.962,1.19349642780358e-18
"mt-Nd1",8.37184167062666e-10,0.77247159444054,0.922,0.806,1.22379581541221e-05
"Rpl10",5.16536241049515e-09,0.750480130932171,0.889,0.731,7.55072677166181e-05
"Rpl35a",1.57980847023848e-22,0.734251159504111,1,0.977,2.30936402179461e-18
"Rpl27a",7.62825932807889e-16,0.724080590231117,1,0.966,1.11509894857857e-11
"mt-Nd4l",9.17352927763524e-08,0.703734349548162,0.933,0.81,0.00134098650980472
"Rpl18a",9.05578639449916e-19,0.69646447448168,1,0.968,1.32377485514789e-14
"mt-Co3",7.97135563722588e-13,0.6712104327681,1,0.973,1.16525276704968e-08
"Rps10",9.29504907095718e-13,0.659134059112638,1,0.953,1.35875027319252e-08
"Rpl36a",2.55208806522642e-09,0.65472560088627,0.978,0.855,3.73064233374798e-05
"Rps23",1.6811892464101e-14,0.65340495030595,1,0.932,2.45756244040228e-10
"Uqcrh",1.88552109506728e-06,0.644635693395522,0.844,0.619,0.0275625473676935
"Rpl39",1.59349544828257e-21,0.639886511078542,1,1,2.32937164629946e-17
"Rpl19",1.30023547312641e-18,0.62211416368404,1,0.977,1.90068421461619e-14
"Rpl26",1.89353955623762e-09,0.608557959345898,0.967,0.876,2.76797612330816e-05
"Rpl34",9.82390887019789e-16,0.605029321108747,1,0.964,1.43605899864553e-11
"Rps7",2.09870103137997e-11,0.599252647255651,1,0.953,3.06788116767124e-07
"Tpt1",3.28135473226273e-09,0.579330694525854,0.956,0.867,4.79668434762166e-05
"Eef1a1",3.18069376236207e-10,0.566661202371131,1,0.948,4.64953814182087e-06
"Gm11808",2.38513649484275e-16,0.565287176588993,1,0.982,3.48659252816113e-12
"Apoe",5.90247230554453e-07,0.564107284850892,0.989,0.955,0.008628234016245
"Rpl3",1.327482612926e-06,0.562954702167997,0.933,0.853,0.0194051408357523
"Rpl28",2.39198724801693e-08,0.556675793091216,0.933,0.869,0.000349660695915115
"Rpl13",4.7886561615712e-17,0.520629858933606,1,0.993,7.00005757698478e-13
"Rpl15",1.73312445805957e-07,0.516300861026413,1,0.937,0.00253348133279149
"Tmsb4x",8.00729872715567e-23,0.511920502155837,1,1,1.17050692793562e-18
"Rplp2",1.11605579155705e-09,0.502855942574638,1,0.948,1.6314503560981e-05
"Rpl37a",6.66556525505763e-15,0.489871944771821,1,0.991,9.74372328984324e-11
"Rps3a1",3.90935840089954e-07,0.489583312954623,1,0.962,0.00571470011043495
"Rps9",1.20429520678172e-08,0.480642966617991,0.989,0.957,0.000176043873327352
"Rps16",1.3946720354239e-08,0.46507077718538,1,0.944,0.000203873158138266
"Rpl36",6.52280707161334e-12,0.458122053510366,1,0.991,9.53503937728438e-08
"Rpl10a",2.45935214279563e-07,0.441005757119483,1,0.978,0.00359508096233866
"Rps4x",6.82303041576248e-07,0.440675112623896,1,0.964,0.00997390586176159
"Rpl30",6.02842435583776e-09,0.419206406563501,1,0.98,8.81235072336363e-05
"Rplp0",2.47507455697539e-07,0.406810710293291,1,0.971,0.00361806398738663
"Rpl35",1.43142637378234e-11,0.399099702955954,1,0.991,2.09245907319502e-07
"Rps27a",2.99745123993605e-09,0.373660581956091,1,0.993,4.38167422253852e-05
"Rps28",2.27259748106666e-12,0.370746009757513,1,1,3.32208299782325e-08
"Rpl38",2.61640849353298e-06,0.316832231403559,1,0.982,0.038246659358465
"Rps24",6.41065157328914e-07,0.306722949971609,1,0.996,0.00937109046983406
